Nombres,Apellidos,Número de documento,Inicio de contrato,Cuota semanal,Marca del auto,Modelo del auto,Placa del auto
Clayton,Lutz,96739863,2024-04-27,193.31,Ford,Corolla,764-EBC
Michael,Holder,53287913,2024-01-09,119.05,Honda,Malibu,773XCH
Lisa,Yates,81882073,2023-04-13,143.14,Nissan,Malibu,EEK0177
Wanda,Johnson,66801767,2023-02-17,125.04,Toyota,Malibu,8340
Felicia,Williams,66764039,2023-10-20,187.41,Nissan,Corolla,H 554602
Joseph,Hart,86523532,2022-07-28,175.17,Ford,Corolla,92-3347A
Robert,Nelson,38617045,2023-04-17,136.99,Toyota,Focus,6R F9560
Jessica,Haas,65017317,2022-09-25,141.6,Chevrolet,Focus,Y 370046
Brian,White,94373643,2023-10-04,135.69,Toyota,Malibu,329TSW
Kimberly,Baldwin,51866412,2023-09-20,117.59,Toyota,Corolla,6I 6Z6FOF
Evan,Cannon,85967803,2022-07-12,159.08,Toyota,Civic,YLB3428
Joshua,Gaines,91582944,2023-09-22,104.89,Toyota,Civic,70-0514D
Kara,Rodriguez,75147960,2022-06-17,168.21,Honda,Corolla,BCL-758
Theresa,Humphrey,26253287,2022-10-02,114.32,Toyota,Sentra,9TQ9066
Roger,Vasquez,80760931,2023-01-01,144.6,Ford,Sentra,726-QOZ
Deanna,Carlson,44063135,2024-02-07,191.44,Honda,Corolla,0F 59876
